E,Sl,Sn,Sa,Cll,Cnl,Cal,Cln,Cnn,Can,Cla,Cna,Caa,Cs,Nlh,Nnh,Nah,Dl,Dn,Da,Hcn,Hcs,I,theta,Pl,Pn,Pa,Ql,Qn,Qa,Ra,I3,I2,I1,Nlh3,Nlh2,Nlh1,Nnh3,Nnh2,Nnh1,Nah3,Nah2,Nah1,Cll3,Cll2,Cll1,Cnl3,Cnl2,Cnl1,Cal3,Cal2,Cal1,Cln3,Cln2,Cln1,Cnn3,Cnn2,Cnn1,Can3,Can2,Can1,Cla3,Cla2,Cla1,Cna3,Cna2,Cna1,Caa3,Caa2,Caa1
1383.20012,0.098232623,0.102940908,0.085174803,0.680815791,0.738619947,0.7872492,0.548513575,0.84299143,0.712871907,0.327965525,0.181342381,0.858472151,0.135603271,0.273490083,0.462608874,0.698970931,4.136539138,3.345219396,6.445325461,0.566017767,0.247515392,0.772397964,0.997723037,0.127406116,0.339001866,0.393402543,0.257452634,0.195308943,0.535936508,0.292037165,11.31719389,8.089591856,4.089591856,5.427828004,2.214069145,0.435082533,1.384028036,0.569154873,0.156339399,0.464961436,0.192554901,0.065844751,6.645531597,2.882055322,0.621104004,0.499497908,0.288780779,0.11998448,0.166095883,0.100360349,0.05204051,3.179131617,1.637869583,0.400751703,1.87057686,0.80923165,0.232871349,0.26959754,0.141061484,0.065244173,4.153189823,1.970790129,0.414628397,1.066085137,0.507133869,0.154048808,0.668218061,0.28192053,0.102995008
1723.876224,0.075903269,0.072411173,0.09230785,0.570352408,0.809838831,0.284061328,0.223189765,0.034345187,0.821188817,0.640746983,0.114675121,0.21531792,0.373692927,0.128933428,0.035201142,0.158721958,4.690297445,3.628668232,3.891621249,0.303979745,0.583983193,0.52648557,0.994079739,0.134504024,0.389662582,0.769288222,0.115162733,0.129224371,0.334879713,0.565649482,10.57945671,7.105942278,3.105942278,4.633489189,1.873638224,0.209263355,0.881396544,0.353741376,0.013448446,0.287219524,0.116379796,0.015315265,5.746438083,2.455295075,0.309971054,0.339362953,0.190054214,0.010836361,0.109146884,0.061591691,0.013007329,3.070318641,1.518461066,0.201767305,1.214554863,0.50858799,0.025036819,0.191539394,0.095629155,0.013622975,3.891164102,1.732550751,0.212372449,0.733690717,0.334565734,0.012755102,0.41153258,0.173372128,0.018494898
1624.089973,0.045857325,0.103826184,0.055942313,0.15662839,0.797561381,0.246612236,0.725748981,0.305001385,0.481043301,0.864084961,0.850994368,0.469295466,0.167397408,0.48766879,0.16783007,0.941394672,4.473210839,4.227050131,8.282678136,0.505085837,0.206303801,0.104492362,0.936963118,0.17055663,0.512233451,0.400303689,0.347716449,0.245023084,0.674816355,0.789344495,9.313477087,5.41796945,1.41796945,6.604740002,2.718460001,0.769661801,1.037368162,0.420586355,0.057788949,0.544718847,0.226736649,0.088518644,8.019075678,3.510794338,1.054697555,0.343549878,0.201795439,0.041331819,0.178293693,0.106346618,0.062956225,4.24569449,2.133647037,0.743212959,1.421710634,0.608011228,0.092201306,0.346901373,0.180352755,0.086534768,4.981371804,2.392617735,0.73805452,0.77921576,0.373929157,0.054969783,0.757212244,0.332602122,0.140799794
1565.328168,0.07435601,0.05926286,0.064298944,0.231917918,0.450445586,0.075096143,0.146359796,0.608191355,0.598449338,0.232380791,0.269737641,0.568391505,0.306448272,0.712223824,0.427925006,0.010394423,3.863503742,3.63528275,4.832954411,0.2821436,0.852460423,0.307825401,0.995367022,0.079867409,0.317260124,0.660094583,0.336200997,0.281879236,0.543983129,0.068464692,9.923476202,6.231301602,2.231301602,7.838669912,3.247287105,1.120450446,1.343239807,0.551674203,0.144743888,0.238419765,0.095465614,0.00144219,9.388396337,4.11189922,1.512816502,0.408398589,0.242877757,0.09077154,0.072310989,0.041596558,0.000780646,4.667391793,2.479545356,1.028041723,1.799762242,0.776430031,0.219512195,0.143088834,0.071306541,0.001947832,6.773729867,3.007594038,1.21641791,1.152585689,0.502777778,0.21641791,0.34695726,0.136740005,0
732.5923592,0.062785253,0.161036114,0.192735848,0.640357168,0.006648067,0.797501841,0.69604633,0.023486614,0.592245694,0.678802734,0.966982182,0.882739663,0.335632356,0.678138617,0.976914254,0.019221313,4.754044146,1.059147851,5.782420286,0.131508489,0.848642854,0.03887008,0.953436801,0.163729423,0.463244318,0.315536077,0.511029842,0.33469545,0.384407404,0.800921117,9.11661024,5.15548032,1.15548032,7.6513717,3.167016443,1.06720424,1.988851162,0.828364784,0.328281973,0.241323812,0.096710205,0.002267769,9.043923748,4,1.449758465,0.613620595,0.366058621,0.208469325,0.074899411,0.04321551,0.001202942,3.977623005,2.157392809,0.87408425,2.586202527,1.129286916,0.471535983,0.127580885,0.064764066,0.001402315,6.451926792,2.907437823,1.052083333,1.722017066,0.773883545,0.338541667,0.348456945,0.146175504,0.005208333
1065.955113,0.0538574,0.10375896,0.060282003,0.013032154,0.433103184,0.881261435,0.268992901,0.31268411,0.008711109,0.291873729,0.195085032,0.08470356,0.16178397,0.116062445,0.174482438,0.626554112,4.243783339,2.68251341,5.400843796,0.779658213,0.480244837,0.835711133,0.996700818,0.104701427,0.299372384,0.363047179,0.551526709,0.447060942,0.978036201,0.725918322,11.5071334,8.342844533,4.342844533,4.562763134,1.843327058,0.189156948,1.045191347,0.423939149,0.060012969,0.441136303,0.18234413,0.059071606,5.651291109,2.415700532,0.279252638,0.405060222,0.228682225,0.052198848,0.171647695,0.099016327,0.05190761,2.953355262,1.474450932,0.176891522,1.427170284,0.597344467,0.090610757,0.280905414,0.145535334,0.054816165,3.528771254,1.631445439,0.178220256,0.831089812,0.37588039,0.057091937,0.627386047,0.266499757,0.090339233
2218.411806,0.10440881,0.084515701,0.062223934,0.21831799,0.674540805,0.379255884,0.509159516,0.316341616,0.365158324,0.787873108,0.348382634,0.008076481,0.325007957,0.854871556,0.742216549,0.162108855,3.936816613,4.47899694,6.670822033,0.385782994,0.370418945,0.323979832,0.985746586,0.130471898,0.653930784,0.350488282,0.478981079,0.177246636,0.747066359,0.580297881,9.971939495,6.295919326,2.295919326,8.6225192,3.583222514,1.343287601,1.712846662,0.710077141,0.249817837,0.288333813,0.116857349,0.015632041,10.25666824,4.498793885,1.802464455,0.501270025,0.298302571,0.150227242,0.083661232,0.049362806,0.009494857,4.737180275,2.501587575,1.136344576,2.259324741,0.993271775,0.365167319,0.160537642,0.082196853,0.012878459,7.241291759,3.345945811,1.359,1.418423555,0.649478438,0.231666667,0.416263931,0.168566287,0.025333333
1514.293003,0.037969108,0.090139964,0.093784629,0.717988405,0.008713373,0.795590296,0.578451576,0.460837827,0.77509753,0.532340018,0.38126968,0.62900051,0.11870205,0.588342154,0.894139074,0.959881964,4.535933365,3.593621948,6.546612641,0.292944286,0.784909638,0.582659868,0.935358042,0.115696555,0.503352533,0.356694707,0.081027162,0.184552684,0.574499616,0.578952579,10.74797961,7.330639474,3.330639474,7.157940134,2.955545772,0.926928695,1.891507552,0.786646094,0.300608575,0.550801166,0.229343357,0.09024776,8.5723509,3.76593656,1.266336682,0.614345728,0.36384482,0.20427748,0.176535077,0.106023104,0.060362766,3.845133791,2.03492586,0.772442009,2.482815995,1.090954589,0.436678928,0.295025669,0.157012564,0.074016363,5.352370439,2.583615348,0.886092085,1.412487238,0.686782068,0.288675376,0.775487123,0.346189591,0.130898021
1826.598849,0.029074204,0.115341281,0.065562368,0.590758806,0.382161355,0.503332275,0.895897066,0.765273277,0.508990363,0.466575523,0.934727432,0.624774925,0.174470669,0.186632967,0.170670141,0.15024827,3.304172291,2.760632676,3.856174574,0.590022551,0.536965721,0.27146701,0.944148511,0.128119902,0.278160344,0.448637223,0.132739834,0.774022315,0.576231533,0.793334604,9.814401029,6.085868039,2.085868039,4.950548155,2.009520638,0.29939869,1.040708086,0.422017751,0.058738442,0.284431681,0.115185006,0.014522721,6.118666935,2.629422551,0.425677603,0.384587397,0.223008696,0.047378348,0.104998102,0.059036177,0.01243541,3.175150736,1.599693814,0.289833057,1.428631412,0.604177764,0.087276745,0.178634377,0.091445832,0.015282637,4.174893546,1.858822532,0.306666667,0.890179837,0.398246685,0.061403509,0.399159664,0.170108862,0.018947368
1358.943415,0.035746852,0.133018827,0.266852123,0.753887447,0.268273659,0.650326323,0.626230952,0.613301761,0.660018971,0.262748898,0.457044948,0.740207667,0.447488554,0.844852039,0.519881673,0.907715801,4.098282222,1.457803878,6.836496815,0.208747804,0.276948943,0.916855384,0.967980078,0.106138108,0.468521711,0.406333809,0.089284177,0.08895234,0.759888826,0.751916683,11.75056615,8.667421536,4.667421536,8.567461953,3.559626551,1.327635612,1.451380847,0.598020363,0.175486841,0.533638499,0.221987928,0.085368659,10.28605189,4.46342141,1.788254843,0.430652308,0.252124719,0.10444121,0.158062641,0.092305743,0.051433707,5.000670347,2.616219575,1.161731696,1.962664833,0.839457092,0.263656069,0.313763415,0.164746211,0.075729769,6.498194232,3.116557171,1.26822231,1.108431321,0.51307485,0.165760488,0.7605606,0.325988024,0.127830437
1424.550396,0.049173049,0.056864456,0.12680267,0.54665928,0.552426217,0.901006256,0.801594902,0.888853446,0.113171367,0.22729506,0.856350383,0.128347877,0.392620915,0.29444308,0.596776344,0.194429473,5.065591001,5.199004356,3.423470775,0.853125036,0.487243004,0.728697138,0.98772448,0.123514641,0.289328157,0.413692669,0.221415465,0.146634253,0.614145621,0.84364118,11.18609141,7.914788552,3.914788552,5.542964725,2.263413453,0.467814257,1.54180898,0.636775277,0.201194267,0.298967296,0.121414556,0.018654989,6.747052036,2.929771867,0.674332213,0.541331563,0.322211692,0.155227046,0.106057248,0.061972868,0.014107862,3.154608396,1.641962482,0.416542189,2.055081229,0.883308671,0.296926561,0.17030174,0.085246177,0.016410008,4.603141789,2.041141783,0.493837535,1.295462567,0.564393792,0.197105509,0.434569662,0.180793157,0.023529412
1090.818849,0.059116501,0.038614644,0.092425675,0.378104044,0.767156995,0.045350918,0.472178212,0.871668417,0.121458774,0.178147235,0.4256662,0.761540969,0.253894855,0.024991881,0.758775652,0.484131833,4.343093102,4.291886068,5.68851735,0.166171085,0.282082997,0.171564722,0.978090992,0.111019135,0.303345468,0.46341734,0.27172239,0.389126282,0.656807705,0.692561381,9.514694167,5.686258889,1.686258889,4.062330384,1.628855879,0.046891066,1.732320167,0.718422929,0.255353876,0.394279373,0.162262588,0.04575085,5.073258434,2.166182058,0.070802583,0.68995557,0.405808464,0.246694342,0.162043121,0.090938804,0.039744772,2.238262009,1.159282143,0.040924031,2.299817289,1.004311784,0.374107238,0.218454659,0.112946806,0.039752082,3.211756524,1.485281435,0.042840376,1.382103658,0.636061436,0.263928013,0.560982318,0.229510692,0.071126761
2071.270892,0.075493749,0.048086006,0.147283216,0.012915439,0.142051911,0.815450194,0.147579649,0.495756559,0.254664469,0.617029004,0.487113902,0.530597426,0.416688366,0.503412196,0.302494791,0.928474387,3.29782255,3.478198945,5.117934107,0.896770092,0.454699895,0.198935345,0.955624035,0.119003515,0.482713432,0.321653222,0.347138836,0.220666598,0.787176048,0.553967109,9.596806034,5.795741378,1.795741378,6.691250018,2.755535722,0.794255362,1.195733875,0.488457375,0.102810059,0.540468073,0.224914889,0.087310209,8.032435367,3.52757486,1.094748828,0.403539178,0.227385981,0.071298356,0.183043809,0.107043145,0.060378842,4.088546106,2.095453105,0.725842528,1.620660976,0.6948445,0.15424454,0.335306889,0.171288608,0.079996998,4.963906698,2.325785252,0.749109083,0.901805976,0.41571448,0.095860495,0.770961413,0.330243135,0.128031291
471.2889201,0.021139026,0.120096449,0.140327015,0.321152304,0.369863556,0.392062208,0.429876908,0.892986614,0.407076605,0.685428052,0.184367746,0.797759681,0.314380969,0.009343535,0.230844605,0.59502075,4.60758133,3.152038235,6.744391117,0.605478287,0.502331421,0.709107966,0.973229938,0.112124594,0.287107143,0.58149641,0.260147371,0.135627679,0.355488679,0.266641342,11.1273239,7.836431866,3.836431866,3.976342726,1.592004025,0.022446004,1.111473255,0.452345681,0.078855968,0.430761827,0.177897926,0.056122291,4.955125227,2.116009235,0.029464286,0.461367382,0.256542202,0.082366071,0.171437534,0.099709109,0.050669643,2.483024152,1.264987259,0.022713493,1.533801422,0.637290842,0.116412481,0.267773078,0.140398127,0.052352969,3.152899599,1.417610104,0.019280288,0.894083634,0.402948999,0.077056779,0.60953171,0.258278613,0.084974894
2341.294754,0.055222633,0.109285664,0.143373355,0.530467712,0.237012131,0.948958543,0.573791023,0.02206407,0.312547181,0.135178381,0.346293922,0.534176144,0.294290904,0.055259254,0.757899825,0.057866794,3.865164015,3.847080223,4.871178694,0.47520395,0.882216193,0.68178291,0.988695688,0.12864401,0.372419078,0.230487549,0.792351424,0.242875313,0.594311592,0.834566322,11.04534873,7.727131638,3.727131638,4.228649601,1.700135543,0.094173244,1.731290194,0.717981512,0.255061069,0.254038175,0.102159218,0.005882281,5.2805613,2.257091048,0.144880311,0.685571935,0.397192215,0.238181476,0.101566285,0.057685142,0.005096712,2.342229035,1.216650657,0.079337104,2.293669114,0.996493084,0.37494577,0.139773767,0.070169907,0.004817426,3.621313784,1.594154988,0.094717668,1.529470991,0.663756404,0.257741348,0.36369516,0.150994575,0.016393443
