"variable","importance","ID","K.sce","I.sce","N.sce"
"E",0.0890639689455665,1,0.05,1,1
"Sl",0.0508401862841907,1,0.05,1,1
"Sn",0.0779172965632302,1,0.05,1,1
"Sa",0.0489381106465068,1,0.05,1,1
"Cll",0.00236976960863737,1,0.05,1,1
"Cnl",0.00410907765345514,1,0.05,1,1
"Cal",0.00441220240197213,1,0.05,1,1
"Cln",0.00221450130948795,1,0.05,1,1
"Cnn",0.00586300026109695,1,0.05,1,1
"Can",0.00349838647496768,1,0.05,1,1
"Cla",0.00220602956743283,1,0.05,1,1
"Cna",0.00546615066948154,1,0.05,1,1
"Caa",0.00451216824846697,1,0.05,1,1
"Cs",0.0340347844538648,1,0.05,1,1
"Nlh",0.00222651660830097,1,0.05,1,1
"Nnh",0.00463150388634299,1,0.05,1,1
"Nah",0.00469470338564325,1,0.05,1,1
"Dl",0.00220272929371094,1,0.05,1,1
"Dn",0.00462778804622204,1,0.05,1,1
"Da",0.00529705432316839,1,0.05,1,1
"Hcn",0.0294646732963734,1,0.05,1,1
"Hcs",0.0034899075700677,1,0.05,1,1
"I",0.00386134455522049,1,0.05,1,1
"theta",0.00466991074287941,1,0.05,1,1
"Pl",0.00404544964866544,1,0.05,1,1
"Pn",0.00355062427977724,1,0.05,1,1
"Pa",0.0028714042251656,1,0.05,1,1
"Ql",0.0061418430158467,1,0.05,1,1
"Qn",0.00562263405170404,1,0.05,1,1
"Qa",0.00424457814823254,1,0.05,1,1
"Ra",0.26986035649609,1,0.05,1,1
"E",0.138101095493793,2,0.05,1,1
"Sl",0.0682406452205089,2,0.05,1,1
"Sn",0.0550078374718843,2,0.05,1,1
"Sa",0.0443888029294476,2,0.05,1,1
"Cll",0.00307493097493754,2,0.05,1,1
"Cnl",0.00397863382125645,2,0.05,1,1
"Cal",0.00440030518904877,2,0.05,1,1
"Cln",0.00183723789543895,2,0.05,1,1
"Cnn",0.00351798832077371,2,0.05,1,1
"Can",0.00451527609404814,2,0.05,1,1
"Cla",0.0025028187749294,2,0.05,1,1
"Cna",0.003603403723598,2,0.05,1,1
"Caa",0.00619537031070356,2,0.05,1,1
"Cs",0.0267453861278364,2,0.05,1,1
"Nlh",0.00334753554171528,2,0.05,1,1
"Nnh",0.00348961623709817,2,0.05,1,1
"Nah",0.00656039877183543,2,0.05,1,1
"Dl",0.00427021219589929,2,0.05,1,1
"Dn",0.00458736452901186,2,0.05,1,1
"Da",0.00423870316851149,2,0.05,1,1
"Hcn",0.0292945464532657,2,0.05,1,1
"Hcs",0.00448175371030913,2,0.05,1,1
"I",0.00483006893484995,2,0.05,1,1
"theta",0.00339557509864879,2,0.05,1,1
"Pl",0.00525790933417722,2,0.05,1,1
"Pn",0.00530051068547351,2,0.05,1,1
"Pa",0.00551360186057474,2,0.05,1,1
"Ql",0.00636662346586883,2,0.05,1,1
"Qn",0.00829290601666986,2,0.05,1,1
"Qa",0.00236607992844302,2,0.05,1,1
