"variable","importance","ID","K.sce","I.sce","N.sce"
"E",0.000269195127686968,1,0.05,1,1
"Sl",0.000292187602833255,1,0.05,1,1
"Sn",0.000221676520915432,1,0.05,1,1
"Sa",0.00015068767651536,1,0.05,1,1
"Cll",0.000452646905921602,1,0.05,1,1
"Cnl",0.000146141226959414,1,0.05,1,1
"Cal",0.000106928583249043,1,0.05,1,1
"Cln",0.000343050055285095,1,0.05,1,1
"Cnn",0.000147318270395455,1,0.05,1,1
"Can",9.2586739527204e-05,1,0.05,1,1
"Cla",0.000505422304590927,1,0.05,1,1
"Cna",0.000131936298148414,1,0.05,1,1
"Caa",9.6583953766481e-05,1,0.05,1,1
"Cs",0.00606276658875624,1,0.05,1,1
"Nlh",0.000501932995426866,1,0.05,1,1
"Nnh",0.000162975495552105,1,0.05,1,1
"Nah",8.96031118742431e-05,1,0.05,1,1
"Dl",0.00018594151407026,1,0.05,1,1
"Dn",0.000159753466009315,1,0.05,1,1
"Da",0.000216766038998793,1,0.05,1,1
"Hcn",0.0103189631600344,1,0.05,1,1
"Hcs",0.000841957274746795,1,0.05,1,1
"I",0.00175168805239411,1,0.05,1,1
"theta",0.000131160037834684,1,0.05,1,1
"Pl",0.000146952532171097,1,0.05,1,1
"Pn",0.000125841734872308,1,0.05,1,1
"Pa",0.000282472756142961,1,0.05,1,1
"Ql",0.00167377248873297,1,0.05,1,1
"Qn",0.000136274837751079,1,0.05,1,1
"Qa",0.000114431721100202,1,0.05,1,1
"Ra",0.000479994320339874,1,0.05,1,1
"E",0.00031921349805232,2,0.05,1,1
"Sl",0.000376654376504065,2,0.05,1,1
"Sn",0.000177746337691084,2,0.05,1,1
"Sa",0.000176079272378346,2,0.05,1,1
"Cll",0.000774920635675422,2,0.05,1,1
"Cnl",0.000147144774479286,2,0.05,1,1
"Cal",0.00014147175373944,2,0.05,1,1
"Cln",0.0003717273516398,2,0.05,1,1
"Cnn",0.00019119687274781,2,0.05,1,1
"Can",8.59917074081751e-05,2,0.05,1,1
"Cla",0.000807441037827192,2,0.05,1,1
"Cna",0.000200371329455409,2,0.05,1,1
"Caa",7.68159986461205e-05,2,0.05,1,1
"Cs",0.00703539912364974,2,0.05,1,1
"Nlh",0.000708061837160574,2,0.05,1,1
"Nnh",0.000159009672024314,2,0.05,1,1
"Nah",8.92956185200171e-05,2,0.05,1,1
"Dl",0.000137000407574491,2,0.05,1,1
"Dn",0.000155517042716838,2,0.05,1,1
"Da",0.000279923698258912,2,0.05,1,1
"Hcn",0.0100401554381365,2,0.05,1,1
"Hcs",0.0014966307995661,2,0.05,1,1
"I",0.000652195343051684,2,0.05,1,1
"theta",0.000178591762010621,2,0.05,1,1
"Pl",0.000159185943886367,2,0.05,1,1
"Pn",0.000133924494297611,2,0.05,1,1
"Pa",0.000282158170200012,2,0.05,1,1
"Ql",0.00169956367426441,2,0.05,1,1
"Qn",0.000218681195993676,2,0.05,1,1
"Qa",0.000139132488400994,2,0.05,1,1
"Ra",0.000369192529929365,2,0.05,1,1
"E",0.000250740404536253,3,0.05,1,1
"Sl",0.000336812852113809,3,0.05,1,1
"Sn",0.000165928898793398,3,0.05,1,1
"Sa",0.000215624741286848,3,0.05,1,1
"Cll",0.000497628135154195,3,0.05,1,1
"Cnl",0.000164595354567742,3,0.05,1,1
"Cal",0.000112291880082872,3,0.05,1,1
"Cln",0.00041093740590845,3,0.05,1,1
"Cnn",0.000174432872980414,3,0.05,1,1
"Can",0.000101213104209554,3,0.05,1,1
"Cla",0.00058892165757442,3,0.05,1,1
"Cna",0.000162470596620234,3,0.05,1,1
"Caa",8.62657004044656e-05,3,0.05,1,1
"Cs",0.00605411137934988,3,0.05,1,1
"Nlh",0.000567057933086344,3,0.05,1,1
"Nnh",0.000197797865820615,3,0.05,1,1
"Nah",0.000104196714596686,3,0.05,1,1
"Dl",0.000216694169244177,3,0.05,1,1
"Dn",0.000147025766834351,3,0.05,1,1
"Da",0.000129887564809681,3,0.05,1,1
"Hcn",0.0106244643467776,3,0.05,1,1
"Hcs",0.00170089048058916,3,0.05,1,1
"I",0.000401548833269739,3,0.05,1,1
"theta",0.000142773004205559,3,0.05,1,1
"Pl",0.000121953390559134,3,0.05,1,1
"Pn",0.000127141707942652,3,0.05,1,1
"Pa",0.000212002752505596,3,0.05,1,1
"Ql",0.00196111811068967,3,0.05,1,1
"Qn",0.000102686228938916,3,0.05,1,1
"Qa",0.000122995639695141,3,0.05,1,1
"Ra",0.000501414092003228,3,0.05,1,1
"E",0.000288965720559774,4,0.05,1,1
"Sl",0.000288253890796928,4,0.05,1,1
"Sn",0.000237384892548363,4,0.05,1,1
"Sa",0.000155205717653798,4,0.05,1,1
"Cll",0.000291971481123999,4,0.05,1,1
"Cnl",0.00011946203395559,4,0.05,1,1
"Cal",8.84478158642759e-05,4,0.05,1,1
"Cln",0.000220297275141125,4,0.05,1,1
"Cnn",0.000132846338906906,4,0.05,1,1
"Can",0.00011642062525502,4,0.05,1,1
"Cla",0.00035761076237119,4,0.05,1,1
"Cna",0.000127126573454561,4,0.05,1,1
"Caa",9.33857046211335e-05,4,0.05,1,1
"Cs",0.00758737645605315,4,0.05,1,1
"Nlh",0.000274437798179677,4,0.05,1,1
