"variable","importance","ID","K.sce","I.sce","N.sce"
"E",0.0222725680798295,1,0.05,1,1
"Sl",0.0178083481585684,1,0.05,1,1
"Sn",0.0369511048266184,1,0.05,1,1
"Sa",0.0212193938973139,1,0.05,1,1
"Cll",0.0112485854541531,1,0.05,1,1
"Cnl",0.00622177473509382,1,0.05,1,1
"Cal",0.0065253966852741,1,0.05,1,1
"Cln",0.0121771921276823,1,0.05,1,1
"Cnn",0.00614705640893516,1,0.05,1,1
"Can",0.00836611058663071,1,0.05,1,1
"Cla",0.0119128684648849,1,0.05,1,1
"Cna",0.00608855350569405,1,0.05,1,1
"Caa",0.00852302838891253,1,0.05,1,1
"Cs",0.105522919826183,1,0.05,1,1
"Nlh",0.0111793806795101,1,0.05,1,1
"Nnh",0.00657161463931127,1,0.05,1,1
"Nah",0.0075342414793108,1,0.05,1,1
"Dl",0.00800553790791032,1,0.05,1,1
"Dn",0.00764254110097703,1,0.05,1,1
"Da",0.00658455025921176,1,0.05,1,1
"Hcn",0.12349555418095,1,0.05,1,1
"Hcs",0.0437593948164535,1,0.05,1,1
"I",0.016560726562436,1,0.05,1,1
"theta",0.00663123511356237,1,0.05,1,1
"Pl",0.0123384530138664,1,0.05,1,1
"Pn",0.00647153000137495,1,0.05,1,1
"Pa",0.00903142145942382,1,0.05,1,1
"Ql",0.0408149384839673,1,0.05,1,1
"Qn",0.00841654745605511,1,0.05,1,1
"Qa",0.00598038070422814,1,0.05,1,1
"Ra",0.0594156036364881,1,0.05,1,1
"E",0.0266580251975476,2,0.05,1,1
"Sl",0.0225562665687004,2,0.05,1,1
"Sn",0.0265754484223393,2,0.05,1,1
"Sa",0.0166551330179859,2,0.05,1,1
"Cll",0.00997738059379135,2,0.05,1,1
"Cnl",0.00671187716545661,2,0.05,1,1
"Cal",0.00597971108766149,2,0.05,1,1
"Cln",0.00744853700726672,2,0.05,1,1
"Cnn",0.00692741717217111,2,0.05,1,1
"Can",0.00574347432986088,2,0.05,1,1
"Cla",0.0105980385025587,2,0.05,1,1
"Cna",0.006997341483672,2,0.05,1,1
"Caa",0.00567254259980302,2,0.05,1,1
"Cs",0.0974398810364826,2,0.05,1,1
"Nlh",0.00889630504015558,2,0.05,1,1
"Nnh",0.00760985004764733,2,0.05,1,1
"Nah",0.00657030862690763,2,0.05,1,1
"Dl",0.00859577801082368,2,0.05,1,1
"Dn",0.00505081459331946,2,0.05,1,1
"Da",0.00814095906839736,2,0.05,1,1
"Hcn",0.134342895183851,2,0.05,1,1
"Hcs",0.0430499849275429,2,0.05,1,1
"I",0.0148216423042721,2,0.05,1,1
"theta",0.00613682946723012,2,0.05,1,1
"Pl",0.00738788574331494,2,0.05,1,1
"Pn",0.0100571150109332,2,0.05,1,1
"Pa",0.0102687789772102,2,0.05,1,1
"Ql",0.0461382638240586,2,0.05,1,1
"Qn",0.0110163162280961,2,0.05,1,1
"Qa",0.00825168928609169,2,0.05,1,1
"Ra",0.0560055823416802,2,0.05,1,1
"E",0.0307440476850664,3,0.05,1,1
"Sl",0.0196322258301962,3,0.05,1,1
"Sn",0.0379662757511085,3,0.05,1,1
"Sa",0.0235817743081104,3,0.05,1,1
"Cll",0.00976893353628698,3,0.05,1,1
"Cnl",0.0082960127885178,3,0.05,1,1
"Cal",0.00572762731612388,3,0.05,1,1
"Cln",0.0107297555960466,3,0.05,1,1
"Cnn",0.0069937572491883,3,0.05,1,1
"Can",0.00744270977833424,3,0.05,1,1
"Cla",0.00959967202698777,3,0.05,1,1
"Cna",0.00802734995208026,3,0.05,1,1
"Caa",0.00820357607733822,3,0.05,1,1
"Cs",0.0976850898748098,3,0.05,1,1
"Nlh",0.00890304695860236,3,0.05,1,1
"Nnh",0.00671492119525056,3,0.05,1,1
"Nah",0.00821399405753583,3,0.05,1,1
"Dl",0.00808228891099771,3,0.05,1,1
"Dn",0.00985526205728203,3,0.05,1,1
"Da",0.00702523874924598,3,0.05,1,1
"Hcn",0.155806095812358,3,0.05,1,1
"Hcs",0.0435478486158996,3,0.05,1,1
"I",0.0212625398341553,3,0.05,1,1
"theta",0.0064615986773454,3,0.05,1,1
"Pl",0.00666478090381054,3,0.05,1,1
"Pn",0.00698664942021727,3,0.05,1,1
"Pa",0.0108985217080809,3,0.05,1,1
"Ql",0.0249152943696588,3,0.05,1,1
"Qn",0.00832763259368702,3,0.05,1,1
"Qa",0.0111925772305638,3,0.05,1,1
"Ra",0.0367120649224715,3,0.05,1,1
"E",0.036905891638073,4,0.05,1,1
