"variable","importance","ID","K.sce","I.sce","N.sce"
"E",0.00126958185944781,1,0.05,1,1
"Sl",0.00088873685677727,1,0.05,1,1
"Sn",0.0021419624942246,1,0.05,1,1
"Sa",0.000740297036875375,1,0.05,1,1
"Cll",0.000282268129874462,1,0.05,1,1
"Cnl",0.000255998867560274,1,0.05,1,1
"Cal",0.000225755951310698,1,0.05,1,1
"Cln",0.000286835858232604,1,0.05,1,1
"Cnn",0.000249019480334366,1,0.05,1,1
"Can",0.000200877442924773,1,0.05,1,1
"Cla",0.000277506910409059,1,0.05,1,1
"Cna",0.000227660723662683,1,0.05,1,1
"Caa",0.000189133325011138,1,0.05,1,1
"Cs",0.00555524538069165,1,0.05,1,1
"Nlh",0.000262881412875239,1,0.05,1,1
"Nnh",0.000254445994367882,1,0.05,1,1
"Nah",0.000186643497410727,1,0.05,1,1
"Dl",0.000358187710607242,1,0.05,1,1
"Dn",0.000231879066389183,1,0.05,1,1
"Da",0.000316293909245975,1,0.05,1,1
"Hcn",0.00974616335357998,1,0.05,1,1
"Hcs",0.00431886812887113,1,0.05,1,1
"I",0.00254853094401067,1,0.05,1,1
"theta",0.000400683988651015,1,0.05,1,1
"Pl",0.000260739051782,1,0.05,1,1
"Pn",0.00027645016338672,1,0.05,1,1
"Pa",0.000541788224476365,1,0.05,1,1
"Ql",0.0036111238307359,1,0.05,1,1
"Qn",0.000285943103693537,1,0.05,1,1
"Qa",0.000265412585919047,1,0.05,1,1
"Ra",0.00411743985519055,1,0.05,1,1
"E",0.00140738298672016,2,0.05,1,1
"Sl",0.000431203562646187,2,0.05,1,1
"Sn",0.0015789796004147,2,0.05,1,1
"Sa",0.000728226270368026,2,0.05,1,1
"Cll",0.00024000156170878,2,0.05,1,1
"Cnl",0.000319583319754663,2,0.05,1,1
"Cal",0.000194243885843906,2,0.05,1,1
"Cln",0.000216731911667765,2,0.05,1,1
"Cnn",0.000237993675242246,2,0.05,1,1
"Can",0.000182191569014516,2,0.05,1,1
"Cla",0.000186566200332554,2,0.05,1,1
"Cna",0.000213257981822979,2,0.05,1,1
