"variable","importance","ID","K.sce","I.sce","N.sce"
"E",0.00326173409901519,1,0.05,1,1
"Sl",0.00120646383160191,1,0.05,1,1
"Sn",0.00240410522908398,1,0.05,1,1
"Sa",0.00259287456842152,1,0.05,1,1
"Cll",0.000149285019079617,1,0.05,1,1
"Cnl",0.000153347045987758,1,0.05,1,1
"Cal",0.000116486458860624,1,0.05,1,1
"Cln",0.000128058750909094,1,0.05,1,1
"Cnn",0.000133211045606662,1,0.05,1,1
"Can",0.000161690082465103,1,0.05,1,1
"Cla",0.000127044403685377,1,0.05,1,1
"Cna",0.000269885676190132,1,0.05,1,1
"Caa",0.000159102915288817,1,0.05,1,1
"Cs",0.000591070140257423,1,0.05,1,1
"Nlh",0.000145333699300815,1,0.05,1,1
"Nnh",0.000127289353498994,1,0.05,1,1
"Nah",0.000149147047140341,1,0.05,1,1
"Dl",0.000109845869590095,1,0.05,1,1
"Dn",0.000107097406210273,1,0.05,1,1
"Da",0.000205414892346251,1,0.05,1,1
"Hcn",0.000382341293587534,1,0.05,1,1
"Hcs",0.000471716608166333,1,0.05,1,1
"I",0.000463401428699281,1,0.05,1,1
"theta",0.000102823361346279,1,0.05,1,1
"Pl",7.7808147481621e-05,1,0.05,1,1
"Pn",0.000121084710676511,1,0.05,1,1
"Pa",0.000110837654957298,1,0.05,1,1
"Ql",0.000176556648731954,1,0.05,1,1
"Qn",0.000106195440719846,1,0.05,1,1
"Qa",0.000133607224080194,1,0.05,1,1
"Ra",0.00689313883604956,1,0.05,1,1
"E",0.00261673550162122,2,0.05,1,1
"Sl",0.00223435735835803,2,0.05,1,1
"Sn",0.00254428860256482,2,0.05,1,1
"Sa",0.002056402147666,2,0.05,1,1
"Cll",0.000135934171897308,2,0.05,1,1
"Cnl",9.48580387376132e-05,2,0.05,1,1
"Cal",0.00013814539760542,2,0.05,1,1
"Cln",0.000125354571615093,2,0.05,1,1
"Cnn",0.000106987147963813,2,0.05,1,1
"Can",0.000105375391867438,2,0.05,1,1
"Cla",0.000131545424546999,2,0.05,1,1
"Cna",9.86076767097461e-05,2,0.05,1,1
"Caa",9.29961318094688e-05,2,0.05,1,1
"Cs",0.000178694714709922,2,0.05,1,1
"Nlh",0.000151589863441367,2,0.05,1,1
"Nnh",0.000111765316147934,2,0.05,1,1
"Nah",9.54324397440001e-05,2,0.05,1,1
"Dl",9.56334609837028e-05,2,0.05,1,1
"Dn",0.000124113706538286,2,0.05,1,1
"Da",0.000113387719515018,2,0.05,1,1
"Hcn",0.000250658025653907,2,0.05,1,1
"Hcs",0.000275103548360506,2,0.05,1,1
"I",0.000311642758675233,2,0.05,1,1
"theta",0.000124240083831354,2,0.05,1,1
"Pl",0.000117603857037554,2,0.05,1,1
"Pn",0.000108118447017478,2,0.05,1,1
"Pa",0.000127815578640174,2,0.05,1,1
"Ql",0.000192994170510481,2,0.05,1,1
"Qn",0.000115757333102785,2,0.05,1,1
"Qa",9.43992844312196e-05,2,0.05,1,1
"Ra",0.00629077588536545,2,0.05,1,1
"E",0.00277573242398455,3,0.05,1,1
"Sl",0.00127172764841123,3,0.05,1,1
"Sn",0.00314323208461128,3,0.05,1,1
"Sa",0.0013388076278129,3,0.05,1,1
"Cll",0.000177910732604022,3,0.05,1,1
"Cnl",0.000124824712965754,3,0.05,1,1
"Cal",0.000111672386767583,3,0.05,1,1
"Cln",0.000163806027848163,3,0.05,1,1
"Cnn",0.000203115084799963,3,0.05,1,1
"Can",0.000139038211597058,3,0.05,1,1
"Cla",0.00014519307744725,3,0.05,1,1
"Cna",0.000191747672152342,3,0.05,1,1
"Caa",0.00013604064495058,3,0.05,1,1
"Cs",0.000216045367321681,3,0.05,1,1
"Nlh",0.000164083475654404,3,0.05,1,1
"Nnh",0.000242858768226323,3,0.05,1,1
"Nah",0.000141659101655133,3,0.05,1,1
"Dl",9.70954201659298e-05,3,0.05,1,1
"Dn",8.17748687175806e-05,3,0.05,1,1
"Da",7.17172879360566e-05,3,0.05,1,1
"Hcn",0.000489778038342717,3,0.05,1,1
"Hcs",0.000552990608085291,3,0.05,1,1
"I",0.000489284385639198,3,0.05,1,1
"theta",0.000104112501259737,3,0.05,1,1
"Pl",0.000117164281551354,3,0.05,1,1
"Pn",8.41350504012546e-05,3,0.05,1,1
"Pa",8.15199942418494e-05,3,0.05,1,1
"Ql",0.000278244961010774,3,0.05,1,1
"Qn",0.000103600315738889,3,0.05,1,1
"Qa",0.000130396798058265,3,0.05,1,1
"Ra",0.00608416344743434,3,0.05,1,1
"E",0.00245337553894247,4,0.05,1,1
"Sl",0.00162415611299636,4,0.05,1,1
"Sn",0.0028494182167655,4,0.05,1,1
"Sa",0.00195757242061477,4,0.05,1,1
"Cll",0.000126484928704444,4,0.05,1,1
"Cnl",0.000120087488711194,4,0.05,1,1
"Cal",0.000186236351198791,4,0.05,1,1
"Cln",0.000128958206819602,4,0.05,1,1
"Cnn",0.000166331830649838,4,0.05,1,1
"Can",0.000172641929722601,4,0.05,1,1
"Cla",0.000146823574545926,4,0.05,1,1
"Cna",0.000149636229324806,4,0.05,1,1
"Caa",0.000191559280806434,4,0.05,1,1
"Cs",0.000266343637091811,4,0.05,1,1
"Nlh",0.000139443340463,4,0.05,1,1
"Nnh",0.000204308431803143,4,0.05,1,1
"Nah",0.000226349619136518,4,0.05,1,1
