"par","yhat","K.sce","I.sce","N.sce","outcome"
6.02734257074201,0.667778990702764,0.05,1,1,"R0"
72.2237361806308,0.668283848905379,0.05,1,1,"R0"
138.42012979052,0.66879255953959,0.05,1,1,"R0"
204.616523400408,0.67137469234421,0.05,1,1,"R0"
270.812917010297,0.675897859224473,0.05,1,1,"R0"
337.009310620186,0.678694797936353,0.05,1,1,"R0"
403.205704230075,0.683185741682529,0.05,1,1,"R0"
469.402097839963,0.697619721836798,0.05,1,1,"R0"
535.598491449852,0.713525287264033,0.05,1,1,"R0"
601.794885059741,0.719870317154445,0.05,1,1,"R0"
667.99127866963,0.739523158050292,0.05,1,1,"R0"
734.187672279518,0.758143643296752,0.05,1,1,"R0"
800.384065889407,0.767405832368332,0.05,1,1,"R0"
866.580459499296,0.780509454558565,0.05,1,1,"R0"
932.776853109185,0.785619035820744,0.05,1,1,"R0"
998.973246719073,0.792154189886928,0.05,1,1,"R0"
1065.16964032896,0.798987252018431,0.05,1,1,"R0"
1131.36603393885,0.811774373789357,0.05,1,1,"R0"
1197.56242754874,0.840694203723468,0.05,1,1,"R0"
1263.75882115863,0.888825919839452,0.05,1,1,"R0"
1329.95521476852,0.895342894219465,0.05,1,1,"R0"
1396.15160837841,0.921369893421652,0.05,1,1,"R0"
1462.34800198829,0.94555820917263,0.05,1,1,"R0"
1528.54439559818,0.98967034676734,0.05,1,1,"R0"
1594.74078920807,1.02993407814618,0.05,1,1,"R0"
1660.93718281796,1.09757882377927,0.05,1,1,"R0"
1727.13357642785,1.10840956145595,0.05,1,1,"R0"
1793.32997003774,1.11771334835405,0.05,1,1,"R0"
1859.52636364763,1.13223412424055,0.05,1,1,"R0"
1925.72275725752,1.13766636353367,0.05,1,1,"R0"
1991.9191508674,1.14376772673815,0.05,1,1,"R0"
2058.11554447729,1.14970971168895,0.05,1,1,"R0"
2124.31193808718,1.15510126259845,0.05,1,1,"R0"
2190.50833169707,1.15743918852522,0.05,1,1,"R0"
2256.70472530696,1.16620951362728,0.05,1,1,"R0"
2322.90111891685,1.1679813004264,0.05,1,1,"R0"
2389.09751252674,1.17118958117069,0.05,1,1,"R0"
